,name,degree_weighted_g0,degree_g0,ActorName,movies_95_04,main_genre,Short,Action,Crime,Mystery,Documentary,Horror,Sci-Fi,Comedy,Animation,Family,Fantasy,Thriller,Western,Adult,Romance,Adventure,War,Drama,Musical,Music,max_triangles,betweenness,closeness,pagerank,eigenvector
6336,n4624,113.0,50,"Kalember, Patricia",10,Drama,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,1.0,703728.6694537017,0.11573426341579858,0.00011792943150809088,6.829237602442483e-09
6337,n13737,33.0,12,"Curtis, Mickey",21,Drama,0,1,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,6,0,0,0.33088235294117646,85532.46956091099,0.08082688487239688,3.934686096606603e-05,1.8013945318448232e-11
6338,n11874,30.0,14,"Wussow, Klausjürgen",19,Comedy,0,0,2,0,0,0,0,5,1,3,0,0,0,0,0,0,0,1,0,0,0.11029411764705882,1901.8609354699893,0.09106799054570879,3.979657932289892e-05,2.319714235927146e-13
6339,n1347,219.0,31,"Bom, Lars",19,Drama,1,1,2,0,2,1,1,1,0,1,0,2,0,0,1,0,0,4,0,1,0.4679802955665025,2.2610595931076336,0.09246319536783441,5.221614871141569e-05,2.01376502949353e-09
6340,n7810,42.0,18,"Palladino, Erik",17,Thriller,0,0,2,0,1,0,1,3,0,0,0,4,0,0,3,0,1,1,0,1,0.1388888888888889,446.8182656202304,0.0757532355928231,5.460882849892429e-05,3.623743298168438e-13
6341,n6298,29.0,14,"Wilby, James",12,Drama,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,0,1,6,0,0,0.16363636363636364,200.63069998460304,0.09587002015830033,1.4216458070973162e-05,5.95083560471815e-07
6342,n2722,91.0,41,"Noland, Charles",10,Drama,1,0,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,3,0,0,0.047619047619047616,36816.957061705325,0.12067451620263142,5.9143196966545544e-05,1.7699007943431664e-06
6343,n12565,18.0,9,"Windham, Barry",10,Action,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8602542841348811,1053.142252491284,0.09170725556028436,2.544625081872653e-05,2.3219318891448e-13
6344,n6396,2.0,1,"Röth, Frank (I)",23,Thriller,0,0,3,0,0,0,0,0,0,0,2,6,0,0,0,0,0,6,0,0,0.12169312169312169,0.0,0.08180808331731919,1.3393382941058783e-05,1.4392246703542224e-12
6345,n14333,10.0,5,"Morán, Mercedes",11,Drama,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,0,0,0.25,32205.07455858177,0.1050774806448894,2.2860210988069184e-05,5.269595432020011e-10
6346,n16652,19.0,7,"Tramitz, Christian",18,Comedy,2,1,3,0,0,0,1,5,0,1,0,0,1,0,0,1,0,1,0,0,0.21904761904761907,5.9416666666666655,0.07264569511616485,2.3581755463855342e-05,6.219013188954262e-14
6347,n10993,55.0,26,"Palmer-Tomkinson, Tara",17,Music,0,0,0,0,8,0,0,1,0,2,0,1,0,0,0,0,0,0,0,5,0.27635327635327633,1771.7094273055282,0.09896801995917441,4.551681044720523e-05,1.1847523642631373e-09
6348,n126,44.0,17,"Hammer, Jens",17,Adult,0,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0.0,48.61686978756133,0.09693435521492835,1.5720010108733124e-05,1.1064580377825981e-06
